Month,Coef,SE,CI_low,CI_hi,P
2021-11,-0.1652,0.0364,-0.2367,-0.0938,0.0
2021-12,0.0095,0.0279,-0.0451,0.0641,0.7329
2022-01,0.2278,0.0288,0.1714,0.2842,0.0
2022-02,0.0652,0.0293,0.0078,0.1226,0.0261
2022-03,0.0,0.0,0.0,0.0,
2022-04,0.1165,0.028,0.0616,0.1713,0.0
2022-05,-0.0572,0.0282,-0.1125,-0.0019,0.0426
2022-06,-0.1923,0.0268,-0.2448,-0.1399,0.0
2022-07,-0.1395,0.0267,-0.1918,-0.0872,0.0
2022-08,-0.0754,0.0267,-0.1277,-0.023,0.0048
2022-09,0.0851,0.0263,0.0336,0.1367,0.0012
2022-10,0.0514,0.0269,-0.0012,0.1041,0.0554
2022-11,0.0265,0.0261,-0.0247,0.0777,0.3108
2022-12,0.0663,0.0265,0.0143,0.1183,0.0124
2023-01,0.1053,0.0264,0.0535,0.157,0.0001
2023-02,-0.012,0.0267,-0.0643,0.0403,0.6534
2023-03,-0.0272,0.0269,-0.08,0.0256,0.3126
2023-04,-0.0783,0.0284,-0.1339,-0.0227,0.0058
2023-05,0.0246,0.0261,-0.0266,0.0758,0.3468
2023-06,0.1086,0.0266,0.0564,0.1608,0.0
2023-07,0.2069,0.027,0.1541,0.2597,0.0
2023-08,0.2485,0.0275,0.1946,0.3023,0.0
2023-09,0.206,0.0279,0.1514,0.2606,0.0
2023-10,0.1952,0.0292,0.138,0.2524,0.0
2023-11,0.2261,0.0282,0.1707,0.2814,0.0
2023-12,0.2355,0.0277,0.1812,0.2898,0.0
2024-01,0.3462,0.0282,0.2909,0.4015,0.0
2024-02,0.3528,0.0288,0.2963,0.4093,0.0
2024-03,0.1005,0.0306,0.0405,0.1604,0.001
