Month,Coef,SE,CI_low,CI_hi,P
2021-11,0.1215,0.0264,0.0697,0.1733,0.0
2021-12,-0.0255,0.019,-0.0629,0.0118,0.18
2022-01,-0.0211,0.0205,-0.0613,0.0192,0.3047
2022-02,0.0095,0.0208,-0.0312,0.0502,0.6482
2022-03,0.0,0.0,0.0,0.0,
2022-04,0.0167,0.0196,-0.0218,0.0552,0.3948
2022-05,0.0718,0.0208,0.0311,0.1125,0.0006
2022-06,0.018,0.019,-0.0192,0.0551,0.3433
2022-07,0.0466,0.0191,0.0092,0.0839,0.0145
2022-08,-0.0264,0.0193,-0.0643,0.0115,0.1715
2022-09,0.0257,0.019,-0.0115,0.0629,0.176
2022-10,-0.0059,0.0194,-0.0439,0.0322,0.7621
2022-11,-0.0419,0.0188,-0.0788,-0.0049,0.0263
2022-12,0.0147,0.0194,-0.0233,0.0526,0.4491
2023-01,-0.0163,0.0188,-0.0531,0.0205,0.3858
2023-02,0.0295,0.0191,-0.008,0.067,0.1228
2023-03,0.015,0.0196,-0.0234,0.0534,0.4433
2023-04,-0.0623,0.0202,-0.1018,-0.0228,0.002
2023-05,0.0176,0.0187,-0.019,0.0543,0.3453
2023-06,0.0223,0.0193,-0.0156,0.0602,0.2492
2023-07,0.0077,0.0195,-0.0305,0.0459,0.6928
2023-08,0.0225,0.0197,-0.0162,0.0611,0.2546
2023-09,0.0278,0.0201,-0.0116,0.0672,0.1666
2023-10,0.0005,0.0206,-0.0398,0.0408,0.9792
2023-11,-0.0016,0.0201,-0.041,0.0379,0.9381
2023-12,0.0443,0.02,0.0051,0.0835,0.0267
2024-01,0.034,0.0203,-0.0058,0.0738,0.0942
2024-02,0.0058,0.0206,-0.0345,0.0461,0.7779
2024-03,0.0289,0.0222,-0.0146,0.0724,0.1926
