BW,Dep,Coef_ABOVE,SE,P,N,Stars
25,LOG_CS,0.0163,0.1105,0.8831,15116,
50,LOG_CS,-0.037,0.0843,0.6608,29268,
100,LOG_CS,-0.1269,0.0639,0.0469,59387,**
200,LOG_CS,-0.1177,0.0795,0.1386,118976,
25,LOG_AMIHUD,0.3593,0.3859,0.3518,14938,
50,LOG_AMIHUD,0.1653,0.3139,0.5984,28786,
100,LOG_AMIHUD,-0.2105,0.2321,0.3645,58210,
200,LOG_AMIHUD,-0.1209,0.1741,0.4875,115999,
25,LOG_ROLL,-0.573,0.6379,0.369,9173,
50,LOG_ROLL,-0.5263,0.4885,0.2813,17310,
100,LOG_ROLL,0.2268,0.3745,0.5447,35422,
200,LOG_ROLL,-0.1291,0.3163,0.6831,70886,
